season,round,date_utc,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score,winner_team,margin,is_final,is_grand_final,game_id
2025,0,2025-03-07 19:40:00,S.C.G.,Sydney,Hawthorn,11,10,76,14,12,96,Hawthorn,-20,0,0,37091
2025,0,2025-03-09 15:20:00,Sydney Showground,Greater Western Sydney,Collingwood,15,14,104,6,16,52,Greater Western Sydney,52,0,0,37093
2025,1,2025-03-13 19:30:00,M.C.G.,Richmond,Carlton,13,4,82,9,15,69,Richmond,13,0,0,37094
2025,1,2025-03-14 19:40:00,M.C.G.,Hawthorn,Essendon,17,9,111,12,13,85,Hawthorn,26,0,0,37095
2025,1,2025-03-15 13:20:00,Kardinia Park,Geelong,Fremantle,23,9,147,10,9,69,Geelong,78,0,0,37096
2025,1,2025-03-15 16:15:00,S.C.G.,Sydney,Brisbane Lions,12,10,82,12,14,86,Brisbane Lions,-4,0,0,37097
2025,1,2025-03-15 19:35:00,M.C.G.,Collingwood,Port Adelaide,21,10,136,6,9,45,Collingwood,91,0,0,37099
2025,1,2025-03-15 19:35:00,Docklands,Western Bulldogs,North Melbourne,17,11,113,14,13,97,Western Bulldogs,16,0,0,37098
2025,1,2025-03-16 12:35:00,Adelaide Oval,Adelaide,St Kilda,21,9,135,10,12,72,Adelaide,63,0,0,37100
2025,1,2025-03-16 15:20:00,M.C.G.,Melbourne,Greater Western Sydney,11,8,74,11,11,77,Greater Western Sydney,-3,0,0,37101
2025,1,2025-03-16 18:10:00,Perth Stadium,West Coast,Gold Coast,7,7,49,20,16,136,Gold Coast,-87,0,0,37102
2025,2,2025-03-20 19:30:00,M.C.G.,Carlton,Hawthorn,8,12,60,12,8,80,Hawthorn,-20,0,0,37103
2025,2,2025-03-21 19:40:00,M.C.G.,Western Bulldogs,Collingwood,10,10,70,10,16,76,Collingwood,-6,0,0,37104
2025,2,2025-03-22 13:20:00,M.C.G.,Essendon,Adelaide,15,10,100,25,11,161,Adelaide,-61,0,0,37105
2025,2,2025-03-22 16:15:00,Adelaide Oval,Port Adelaide,Richmond,21,14,140,9,14,68,Port Adelaide,72,0,0,37106
2025,2,2025-03-22 19:35:00,Docklands,St Kilda,Geelong,15,8,98,13,13,91,St Kilda,7,0,0,37107
2025,2,2025-03-23 13:10:00,Gabba,Brisbane Lions,West Coast,14,10,94,11,9,75,Brisbane Lions,19,0,0,37108
2025,2,2025-03-23 15:20:00,Docklands,North Melbourne,Melbourne,19,11,125,9,12,66,North Melbourne,59,0,0,37109
2025,2,2025-03-23 18:10:00,Perth Stadium,Fremantle,Sydney,9,11,65,9,14,68,Sydney,-3,0,0,37110
2025,3,2025-03-27 19:30:00,Docklands,Essendon,Port Adelaide,9,18,72,8,12,60,Essendon,12,0,0,37111
2025,3,2025-03-28 19:40:00,Docklands,Carlton,Western Bulldogs,11,9,75,12,11,83,Western Bulldogs,-8,0,0,37112
2025,3,2025-03-29 13:20:00,M.C.G.,Melbourne,Gold Coast,8,14,62,18,12,120,Gold Coast,-58,0,0,37113
