season,round,date_utc,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score,winner_team,margin,is_final,is_grand_final,game_id
2024,6,2024-04-19 19:40:00,Adelaide Oval,Adelaide,Essendon,11,9,75,10,18,78,Essendon,-3,0,0,35747
2024,6,2024-04-20 13:45:00,M.C.G.,Collingwood,Port Adelaide,17,21,123,12,9,81,Collingwood,42,0,0,35748
2024,6,2024-04-20 16:35:00,Docklands,Carlton,Greater Western Sydney,17,15,117,15,8,98,Carlton,19,0,0,35749
2024,6,2024-04-20 19:30:00,Gabba,Brisbane Lions,Geelong,4,13,37,9,9,63,Geelong,-26,0,0,35750
2024,6,2024-04-20 20:10:00,Perth Stadium,West Coast,Fremantle,16,9,105,10,8,68,West Coast,37,0,0,35751
2024,6,2024-04-21 13:05:00,S.C.G.,Sydney,Gold Coast,17,8,110,8,9,57,Sydney,53,0,0,35752
2024,6,2024-04-21 16:05:00,Docklands,North Melbourne,Hawthorn,10,8,68,17,11,113,Hawthorn,-45,0,0,35753
2024,7,2024-04-24 19:25:00,M.C.G.,Richmond,Melbourne,5,12,42,13,7,85,Melbourne,-43,0,0,35754
2024,7,2024-04-25 15:20:00,M.C.G.,Essendon,Collingwood,12,13,85,12,13,85,,0,0,0,35755
2024,7,2024-04-25 19:35:00,Manuka Oval,Greater Western Sydney,Brisbane Lions,17,11,113,8,11,59,Greater Western Sydney,54,0,0,35756
2024,7,2024-04-26 19:40:00,Adelaide Oval,Port Adelaide,St Kilda,11,16,82,11,6,72,Port Adelaide,10,0,0,35757
2024,7,2024-04-27 13:45:00,Bellerive Oval,North Melbourne,Adelaide,12,9,81,20,18,138,Adelaide,-57,0,0,35758
2024,7,2024-04-27 16:35:00,M.C.G.,Geelong,Carlton,18,10,118,15,15,105,Geelong,13,0,0,35759
2024,7,2024-04-27 19:40:00,Perth Stadium,Fremantle,Western Bulldogs,14,11,95,10,11,71,Fremantle,24,0,0,35760
2024,7,2024-04-28 13:00:00,Carrara,Gold Coast,West Coast,17,10,112,12,3,75,Gold Coast,37,0,0,35761
2024,7,2024-04-28 16:00:00,M.C.G.,Hawthorn,Sydney,5,12,42,18,10,118,Sydney,-76,0,0,35762
2024,8,2024-05-02 19:30:00,Adelaide Oval,Adelaide,Port Adelaide,12,6,78,5,18,48,Adelaide,30,0,0,35763
2024,8,2024-05-03 19:40:00,M.C.G.,Carlton,Collingwood,12,7,79,12,13,85,Collingwood,-6,0,0,35764
2024,8,2024-05-04 13:45:00,S.C.G.,Sydney,Greater Western Sydney,14,14,98,10,9,69,Sydney,29,0,0,35765
2024,8,2024-05-04 16:35:00,Docklands,St Kilda,North Melbourne,15,13,103,10,5,65,St Kilda,38,0,0,35766
2024,8,2024-05-04 19:30:00,M.C.G.,Melbourne,Geelong,10,14,74,9,12,66,Melbourne,8,0,0,35767
2024,8,2024-05-04 20:10:00,Perth Stadium,West Coast,Essendon,11,5,71,11,11,77,Essendon,-6,0,0,35768
2024,8,2024-05-05 13:00:00,M.C.G.,Richmond,Fremantle,6,13,49,15,13,103,Fremantle,-54,0,0,35769
2024,8,2024-05-05 16:00:00,Docklands,Western Bulldogs,Hawthorn,14,7,91,14,14,98,Hawthorn,-7,0,0,35770
2024,8,2024-05-05 19:10:00,Gabba,Brisbane Lions,Gold Coast,10,19,79,6,9,45,Brisbane Lions,34,0,0,35771
2024,9,2024-05-09 19:30:00,M.C.G.,Carlton,Melbourne,12,5,77,11,10,76,Carlton,1,0,0,35772
2024,9,2024-05-10 19:10:00,Kardinia Park,Geelong,Port Adelaide,14,11,95,15,11,101,Port Adelaide,-6,0,0,35773
2024,9,2024-05-10 20:30:00,Perth Stadium,Fremantle,Sydney,4,15,39,13,9,87,Sydney,-48,0,0,35774
2024,9,2024-05-11 13:45:00,York Park,Hawthorn,St Kilda,8,10,58,7,11,53,Hawthorn,5,0,0,35775
2024,9,2024-05-11 16:35:00,Docklands,Essendon,Greater Western Sydney,12,10,82,9,8,62,Essendon,20,0,0,35776
2024,9,2024-05-11 19:30:00,Marrara Oval,Gold Coast,North Melbourne,17,18,120,7,10,52,Gold Coast,68,0,0,35778
2024,9,2024-05-11 19:30:00,M.C.G.,Richmond,Western Bulldogs,6,6,42,19,19,133,Western Bulldogs,-91,0,0,35777
2024,9,2024-05-12 13:00:00,Docklands,Collingwood,West Coast,15,13,103,5,7,37,Collingwood,66,0,0,35779
2024,9,2024-05-12 16:00:00,Adelaide Oval,Adelaide,Brisbane Lions,13,12,90,13,12,90,,0,0,0,35780
2024,10,2024-05-16 19:30:00,Marrara Oval,Gold Coast,Geelong,26,8,164,15,10,100,Gold Coast,64,0,0,35781
